business_id,business_name,owner_name,email,phone,address,city,state,country,zipcode,industry,founded_year,employee_count,revenue,website,status,rating,registration_no,created_at,updated_at
1,Lewis Inc,James Garcia,alexanderpetersen@anderson-jacobs.info,001-491-365-4823,"797 Scott Meadow Apt. 602, South Melissa, VT 55097",Michaelberg,Wyoming,French Southern Territories,95289,Manufacturing,2002,3448,46365306.11,www.lewisinc.com,Pending,2.22,Om-43543226,2021-11-19,2024-06-01
2,"Morrison, Church and Sandoval",Christopher Clark,hopkinswilliam@jackson.biz,944.330.3836,"8841 Patricia Roads, Ashleyborough, MS 59833",Diamondview,Michigan,Cuba,80572,Logistics,1955,570,64379018.37,www.morrisonchurchandsandoval.com,Pending,2.64,Lh-53205118,2022-03-31,2022-10-15
3,Holt-Horn,Matthew Johnson,timothy18@webb.info,+1-646-271-2769x399,"879 Timothy Creek, South Abigailton, IL 82554",Guzmanport,South Carolina,Colombia,86868,Healthcare,1981,1766,24217828.1,www.holt-horn.com,Inactive,4.98,hr-43457049,2022-06-21,2022-08-23
4,Sanchez-Griffin,Bryan Novak,william38@simon-townsend.net,001-654-232-9349x11406,"2973 Patricia Lane, Jessicamouth, KS 75889",Geraldborough,Idaho,United States Virgin Islands,23518,Retail,1954,4656,50272995.72,www.sanchez-griffin.com,Closed,1.68,CO-35801151,2021-06-11,2023-02-01
5,"Brown, Mason and Thomas",Beth Watson,bennettkristin@castro-hawkins.info,841.338.1922,"5197 Gross Forge, East Joseph, MA 16997",Port Michaelberg,Louisiana,Congo,97351,Technology,2009,1822,95188419.69,www.brownmasonandthomas.com,Active,3.07,pN-90772967,2021-04-10,2023-06-20
6,Freeman Inc,Walter Rodriguez,christopherwilliams@robinson.com,909-601-8499,"51478 Joanna Ports Apt. 350, Port Richardland, FL 15217",West Molly,Delaware,Ecuador,69209,Logistics,1965,2051,48730713.07,www.freemaninc.com,Active,3.34,oE-25429056,2021-01-25,2022-03-07
7,"Miller, Mann and Jones",Stephen Herman,darrenclark@scott-mcgee.info,001-157-629-0391,"702 Joseph Shoals, Kimberlyport, KS 05344",West Benjaminmouth,Ohio,Morocco,88136,Education,1977,1043,91323233.98,www.millermannandjones.com,Active,2.57,kg-06464823,2020-12-10,2023-03-23
8,"Young, Gallagher and Hanna",David Austin,dmaynard@howard.com,7486859301,"242 White Mountains, Lake Mollybury, MO 37464",Hardintown,Alabama,Honduras,11447,Logistics,1951,3992,38161995.33,www.younggallagherandhanna.com,Closed,4.57,su-00142257,2022-12-28,2023-06-03
9,Cooper PLC,Peter Simon,meredith97@clark-robertson.com,(864)266-3056x4279,"42922 William Causeway Apt. 864, Jackport, CO 35965",Steventon,New Hampshire,Zambia,26157,Manufacturing,1971,1761,86336689.61,www.cooperplc.com,Pending,1.66,ph-23822502,2025-05-29,2025-08-19
10,Schmitt-Matthews,Holly Rodriguez,olivia90@young.com,769-779-3130x552,"574 Gentry Underpass, Michaelborough, MS 81958",Sheilabury,Hawaii,Cyprus,75893,Technology,1958,3144,9526259.12,www.schmitt-matthews.com,Closed,3.54,uE-41231381,2025-05-19,2025-08-19
